VENDOR,CLUSTER_AREA,SITE_NAME,SITE_DESCRIPTION,CELLNAME,LATITUDE,LONGITUDE,AZIMUTH,TECH,CARRIER,ACTSTATUS,FWA_SITE,GOLDEN_SITE
VEND-1,CLUST-7,SITE_487,Hampton Downs,SITE_487_CELL-C,-37.352326,175.066682,330,FDD,L1800,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_483,Mt Smart Stadium,SITE_483_CELL-C,-36.916861,174.812573,304,TDD,L2300 - Q,ACTIVE,NO,NO
VEND-1,CLUST-7,SITE_488,Hangatiki,SITE_488_CELL-A,-38.251234,175.132246,130,FDD,L1800,ACTIVE,NO,NO
VEND-1,CLUST-7,SITE_488,Hangatiki,SITE_488_CELL-A,-38.251234,175.132246,130,FDD,L2600,ACTIVE,NO,NO
VEND-1,CLUST-7,SITE_488,Hangatiki,SITE_488_CELL-B,-38.251234,175.132246,250,FDD,L2600,ACTIVE,NO,NO
VEND-1,CLUST-7,SITE_489,Hautapu,SITE_489_CELL-A,-37.85764,175.447876,20,FDD,L2100,ACTIVE,NO,NO
VEND-1,CLUST-7,SITE_488,Hangatiki,SITE_488_CELL-A,-38.251234,175.132246,130,FDD,L700,ACTIVE,NO,NO
VEND-1,CLUST-7,SITE_488,Hangatiki,SITE_488_CELL-B,-38.251234,175.132246,250,FDD,L700,ACTIVE,NO,NO
VEND-1,CLUST-7,SITE_488,Hangatiki,SITE_488_CELL-B,-38.251234,175.132246,250,FDD,L1800,ACTIVE,NO,NO
VEND-1,CLUST-7,SITE_489,Hautapu,SITE_489_CELL-B,-37.85764,175.447876,140,FDD,L2100,ACTIVE,NO,NO
VEND-2,CLUST-13,SITE_475,Hanmer Springs,SITE_475_CELL-A,-42.515047,172.818662,105,FDD,L1800,ACTIVE,NO,NO
VEND-2,CLUST-13,SITE_475,Hanmer Springs,SITE_475_CELL-B,-42.515047,172.818662,220,FDD,L1800,ACTIVE,NO,NO
VEND-2,CLUST-13,SITE_475,Hanmer Springs,SITE_475_CELL-A,-42.515047,172.818662,105,FDD,L700,ACTIVE,NO,NO
VEND-1,CLUST-7,SITE_489,Hautapu,SITE_489_CELL-C,-37.85764,175.447876,260,FDD,L2100,ACTIVE,NO,NO
VEND-2,CLUST-13,SITE_475,Hanmer Springs,SITE_475_CELL-B,-42.515047,172.818662,220,FDD,L700,ACTIVE,NO,NO
VEND-2,CLUST-13,SITE_475,Hanmer Springs,SITE_475_CELL-C,-42.515047,172.818662,340,FDD,L700,ACTIVE,NO,NO
VEND-2,CLUST-13,SITE_475,Hanmer Springs,SITE_475_CELL-C,-42.515047,172.818662,340,FDD,L1800,ACTIVE,NO,NO
VEND-2,CLUST-18,SITE_476,Happy Valley,SITE_476_CELL-A,-41.338446,174.756252,30,FDD,L1800,ACTIVE,NO,NO
VEND-2,CLUST-18,SITE_476,Happy Valley,SITE_476_CELL-B,-41.338446,174.756252,130,FDD,L1800,ACTIVE,NO,NO
VEND-4,CLUST-37,SITE_490,Havelock,SITE_490_CELL-A,-41.295751,173.748969,50,FDD,L2100,ACTIVE,NO,NO
VEND-2,CLUST-18,SITE_476,Happy Valley,SITE_476_CELL-A,-41.338446,174.756252,30,FDD,L700,ACTIVE,NO,NO
VEND-2,CLUST-18,SITE_476,Happy Valley,SITE_476_CELL-B,-41.338446,174.756252,130,FDD,L700,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_483,Mt Smart Stadium,SITE_483_CELL-C,-36.916861,174.812573,304,TDD,L2300 - R,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_484,Mt Smart Stadium,SITE_484_CELL-A,-36.916861,174.812573,236,FDD,L2100,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_484,Mt Smart Stadium,SITE_484_CELL-A,-36.916861,174.812573,236,TDD,L2300 - Q,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_484,Mt Smart Stadium,SITE_484_CELL-A,-36.916861,174.812573,236,TDD,L2300 - R,ACTIVE,NO,NO
VEND-1,CLUST-9,SITE_491,Havelock North Exchange,SITE_491_CELL-A,-39.66844,176.876248,80,TDD,L2300 - Q,ACTIVE,NO,NO
VEND-1,CLUST-9,SITE_491,Havelock North Exchange,SITE_491_CELL-A,-39.66844,176.876248,80,TDD,L2300 - R,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_484,Mt Smart Stadium,SITE_484_CELL-C,-36.916861,174.812573,250,FDD,L2100,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_484,Mt Smart Stadium,SITE_484_CELL-C,-36.916861,174.812573,250,TDD,L2300 - Q,ACTIVE,NO,NO
