VENDOR,CLUSTER_AREA,SITE_NAME,SITE_DESCRIPTION,CELLNAME,LATITUDE,LONGITUDE,AZIMUTH,TECH,CARRIER,ACTSTATUS,FWA_SITE,GOLDEN_SITE
NOKIA,WN Corridor,SITE_36,Aotea Quay Relocation,WSDMJ2_R,-41.27406,174.785694,247,TDD,L2300 - R,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_33,Aotea Quay Relocation,WAQRJ2_J,-41.27406,174.785694,339,FDD,L700,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_33,Aotea Quay Relocation,WAQRJ5_J,-41.27406,174.785694,7,FDD,L700,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_34,Aotea Quay Relocation,WAQRU8_J,-41.27406,174.785694,35,FDD,L700,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_36,Aotea Quay Relocation,WSDMJ3_M,-41.27406,174.785694,190,FDD,L2100,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_36,Aotea Quay Relocation,WSDMJ1_J,-41.27406,174.785694,127,FDD,L700,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_36,Aotea Quay Relocation,WSDMJ3_Q,-41.27406,174.785694,190,TDD,L2300 - Q,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_36,Aotea Quay Relocation,WSDMJ3_R,-41.27406,174.785694,190,TDD,L2300 - R,ACTIVE,NO,YES
NOKIA,WN Corridor,SITE_36,Aotea Quay Relocation,WSDMJ2_J,-41.27406,174.785694,247,FDD,L700,INACTIVE,NO,NO
NOKIA,WN Corridor,SITE_36,Aotea Quay Relocation,WSDMJ3_J,-41.27406,174.785694,190,FDD,L700,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_36,Aotea Quay Relocation,WSDMJ4_J,-41.27406,174.785694,265,FDD,L700,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_36,Aotea Quay Relocation,WSDMJ4_M,-41.27406,174.785694,265,FDD,L2100,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_34,Aotea Quay Relocation,WAQRU3_L,-41.27406,174.785694,347,FDD,L1800,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_36,Aotea Quay Relocation,WSDMJ4_Q,-41.27406,174.785694,265,TDD,L2300 - Q,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_36,Aotea Quay Relocation,WSDMJ4_R,-41.27406,174.785694,265,TDD,L2300 - R,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_36,Aotea Quay Relocation,WSDMJ3_L,-41.27406,174.785694,190,FDD,L1800,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_36,Aotea Quay Relocation,WSDMJ4_L,-41.27406,174.785694,265,FDD,L1800,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_34,Aotea Quay Relocation,WAQRU4_L,-41.27406,174.785694,0,FDD,L1800,ACTIVE,NO,NO
NOKIA,Bay of Plenty/Tauranga,SITE_37,Apata,MPTAJ1_M,-37.644935,175.979488,120,FDD,L2100,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_34,Aotea Quay Relocation,WAQRU6_L,-41.27406,174.785694,14,FDD,L1800,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_34,Aotea Quay Relocation,WAQRU7_L,-41.27406,174.785694,27,FDD,L1800,ACTIVE,NO,NO
