VENDOR,CLUSTER_AREA,ENODEBID,ECI,SITE_NAME,LATITUDE,LONGITUDE,AZIMUTH,HEIGHT,ANTENNA,LOCAL_CELLID,PCI,RSI,M_TILT,CELLNAME,ULEARFCN,DLEARFCN,UL BW,20MHz,TECH,CELLRADIUS,PMAX,RSPOWER (dBm),TXRX_MODE,TAC,CARRIER,ACTSTATUS,BLKSTATUS
CLUST-1,Napier,1308,334986,CNAPA,-39.501609,176.914351,232,26,2300_Commscope_RVV33BR3_E06,138,116,432,5,CNAPA3_R,39052,39052,20MHz,20MHz,TDD,14500,43,15.2,4T4R,48201,L2300 - R,ACTIVE,UNBLOCKED
RCG,Waikato,100639,25763595,RWKMKP,-38.303229,174.720804,110,12,0700_Kathrein_800372965_E06,11,396,328,0,RWKMKP011,27310,9310,20MHz,20MHz,FDD,15920,47.20000076,19.4,4T4R,12810,L700,ACTIVE,UNBLOCKED
RCG,Waikato,100639,25763596,RWKMKP,-38.303229,174.720804,230,12,0700_Kathrein_800372965_E06,12,397,187,0,RWKMKP012,27310,9310,20MHz,20MHz,FDD,15920,47.20000076,19.4,4T4R,12810,L700,ACTIVE,UNBLOCKED
RCG,Waikato,100639,25763597,RWKMKP,-38.303229,174.720804,350,12,0700_Kathrein_800372965_E06,13,398,233,0,RWKMKP013,27310,9310,20MHz,20MHz,FDD,15920,47.20000076,19.4,4T4R,12810,L700,ACTIVE,UNBLOCKED
CLUST-1,Napier,1308,334995,CNAPA,-39.501609,176.914351,288,26,2300_Commscope_RVV33BR3_E06,147,208,784,5,CNAPA4_Q,39250,39250,20MHz,20MHz,TDD,14500,43,15.2,4T4R,48201,L2300 - Q,ACTIVE,UNBLOCKED
CLUST-1,Napier,1308,334996,CNAPA,-39.501609,176.914351,288,26,2300_Commscope_RVV33BR3_E06,148,208,784,5,CNAPA4_R,39052,39052,20MHz,20MHz,TDD,14500,43,15.2,4T4R,48201,L2300 - R,ACTIVE,UNBLOCKED
RCG,Waikato,100644,25764875,RWKMAE,-38.61229,175.811266,90,15,0700_Kathrein_80010965_E08,11,42,794,0,RWKMAE011,27310,9310,20MHz,20MHz,FDD,38800,47.20000076,19.4,4T4R,12812,L700,ACTIVE,UNBLOCKED
RCG,Waikato,100644,25764876,RWKMAE,-38.61229,175.811266,270,15,0700_Kathrein_80010965_E05,12,43,196,0,RWKMAE012,27310,9310,20MHz,20MHz,FDD,38800,47.20000076,19.4,4T4R,12812,L700,ACTIVE,UNBLOCKED
RCG,Waikato,100644,25764877,RWKMAE,-38.61229,175.811266,350,15,0700_Kathrein_80010965_E08,13,44,250,0,RWKMAE013,27310,9310,20MHz,20MHz,FDD,38800,47.20000076,19.4,4T4R,12812,L700,ACTIVE,UNBLOCKED
NOKIA,Northland,300957,77045105,NMRSL,-35.854511,174.410379,35,36,1800_Kathrein_80010866_E025,113,255,193,0,NMRSJ1_L,19600,1600,20MHz,20MHz,FDD,22780,47.79999924,20,4T4R,18161,L1800,ACTIVE,UNBLOCKED
NOKIA,Northland,300957,77045107,NMRSL,-35.854511,174.410379,35,36,2600_Kathrein_80010866_E025,115,255,501,0,NMRSJ1_N,21200,3200,20MHz,20MHz,FDD,22780,47.79999924,20,4T4R,18161,L2600,ACTIVE,UNBLOCKED
NOKIA,Northland,300957,77045117,NMRSL,-35.854511,174.410379,140,36,2600_Kathrein_80010866_E025,125,256,51,0,NMRSJ2_N,21200,3200,20MHz,20MHz,FDD,38800,47.79999924,20,4T4R,18161,L2600,ACTIVE,UNBLOCKED
NOKIA,Northland,300957,77045127,NMRSL,-35.854511,174.410379,270,36,2600_Kathrein_80010866_E025,135,257,23,0,NMRSJ3_N,21200,3200,20MHz,20MHz,FDD,15920,47.79999924,20,4T4R,18161,L2600,ACTIVE,UNBLOCKED
NOKIA,Northland,300957,77045103,NMRSL,-35.854511,174.410379,35,36,0700_Kathrein_80010866_E02,111,255,26,0,NMRSJ1_J,27310,9310,20MHz,20MHz,FDD,22780,47.79999924,20,2T2R,18161,L700,ACTIVE,UNBLOCKED
NOKIA,Northland,300957,77045113,NMRSL,-35.854511,174.410379,140,36,0700_Kathrein_80010866_E02,121,256,332,0,NMRSJ2_J,27310,9310,20MHz,20MHz,FDD,38800,47.79999924,20,2T2R,18161,L700,ACTIVE,UNBLOCKED
VEND-3,CLUST-4,301725,77241713,AMMML,-36.842271,174.76319,140,8,1800_Huawei_APE4516R1v06_E02,113,210,656,0,AMMMJ1_L,19600,1600,20MHz,20MHz,FDD,12200,47.79999924,20,4T4R,18111,L1800,ACTIVE,UNBLOCKED
VEND-3,CLUST-4,301725,77241715,AMMML,-36.842271,174.76319,140,8,2600_Huawei_APE4516R1v06_E02,115,210,672,-10,AMMMJ1_N,21200,3200,20MHz,20MHz,FDD,12200,46,18.2,4T4R,18111,L2600,ACTIVE,UNBLOCKED
NOKIA,Northland,300957,77045123,NMRSL,-35.854511,174.410379,270,36,0700_Kathrein_80010866_E02,131,257,0,0,NMRSJ3_J,27310,9310,20MHz,20MHz,FDD,22780,47.79999924,20,2T2R,18161,L700,ACTIVE,UNBLOCKED
NOKIA,Northland,300957,77045115,NMRSL,-35.854511,174.410379,140,36,1800_Kathrein_80010866_E025,123,256,374,0,NMRSJ2_L,19600,1600,20MHz,20MHz,FDD,38800,46,18.2,4T4R,18161,L1800,ACTIVE,UNBLOCKED
NOKIA,Northland,300957,77045125,NMRSL,-35.854511,174.410379,270,36,1800_Kathrein_80010866_E04,133,257,387,0,NMRSJ3_L,19600,1600,20MHz,20MHz,FDD,22780,47.79999924,20,4T4R,18161,L1800,ACTIVE,UNBLOCKED
VEND-3,CLUST-4,301725,77241735,AMMML,-36.842271,174.76319,290,7.6,2600_Huawei_APE4516R1v06_E07,135,211,664,0,AMMMJ3_N,21200,3200,20MHz,20MHz,FDD,12200,46,18.2,4T4R,18111,L2600,ACTIVE,UNBLOCKED
VEND-3,CLUST-4,301725,77241733,AMMML,-36.842271,174.76319,290,7.6,1800_Huawei_APE4516R1v06_E07,133,211,648,0,AMMMJ3_L,19600,1600,20MHz,20MHz,FDD,12200,47.79999924,20,4T4R,18111,L1800,ACTIVE,UNBLOCKED
SAMSUNG,CH North,628141,160804209,SMASF,-43.473907,172.673352,90,18.7,1800_Kathrein_80010892V01_E03,113,60,328,0,SMASF1_L,19600,1600,20MHz,20MHz,FDD,12200,46,18.2,4T4R,28151,L1800,ACTIVE,UNBLOCKED
SAMSUNG,CH North,628141,160804219,SMASF,-43.473907,172.673352,210,18.7,1800_Kathrein_80010892V01_E03,123,61,272,0,SMASF2_L,19600,1600,20MHz,20MHz,FDD,9770,46,18.2,4T4R,28151,L1800,ACTIVE,UNBLOCKED
SAMSUNG,CH North,628141,160804207,SMASF,-43.473907,172.673352,90,18.7,0700_Kathrein_80010892V01_E02,111,60,262,0,SMASF1_J,27310,9310,20MHz,20MHz,FDD,12200,47.8,20,2T2R,28151,L700,ACTIVE,UNBLOCKED
VEND-3,CLUST-1,301791,77258607,AMRAL,-36.891716,174.832687,90,15,0700_Huawei_ATR4518R6_E06,111,48,184,0,AMRAJ1_J,27310,9310,20MHz,20MHz,FDD,12200,47.79999924,20,2T2R,18142,L700,ACTIVE,UNBLOCKED
VEND-3,CLUST-1,301791,77258617,AMRAL,-36.891716,174.832687,210,15,0700_Huawei_ATR4518R6_E08,121,49,176,0,AMRAJ2_J,27310,9310,20MHz,20MHz,FDD,12200,47.79999924,20,2T2R,18142,L700,ACTIVE,UNBLOCKED
SAMSUNG,CH North,628141,160804217,SMASF,-43.473907,172.673352,210,18.7,0700_Kathrein_80010892V01_E06,121,61,282,0,SMASF2_J,27310,9310,20MHz,20MHz,FDD,9770,47.8,20,2T2R,28151,L700,ACTIVE,UNBLOCKED
VEND-3,CLUST-1,301791,77258627,AMRAL,-36.891716,174.832687,330,15,0700_Huawei_ATR4518R6_E06,131,50,168,0,AMRAJ3_J,27310,9310,20MHz,20MHz,FDD,12200,47.79999924,20,2T2R,18142,L700,ACTIVE,UNBLOCKED
SAMSUNG,CH North,628141,160804227,SMASF,-43.473907,172.673352,330,18.7,0700_Kathrein_80010892V01_E03,131,62,30,0,SMASF3_J,27310,9310,20MHz,20MHz,FDD,12200,47.8,20,2T2R,28151,L700,ACTIVE,UNBLOCKED
VEND-3,CLUST-1,301791,77258609,AMRAL,-36.891716,174.832687,90,15,1800_Huawei_ATR4518R6_E04,113,48,184,0,AMRAJ1_L,19600,1600,20MHz,20MHz,FDD,12200,46,18.2,4T4R,18142,L1800,ACTIVE,UNBLOCKED
SAMSUNG,CH North,628141,160804229,SMASF,-43.473907,172.673352,330,18.7,1800_Kathrein_80010892V01_E03,133,62,264,0,SMASF3_L,19600,1600,20MHz,20MHz,FDD,12200,47.8,20,4T4R,28151,L1800,ACTIVE,UNBLOCKED
VEND-3,CLUST-1,301791,77258611,AMRAL,-36.891716,174.832687,90,15,2600_Huawei_ATR4518R6_E04,115,48,184,0,AMRAJ1_N,21200,3200,20MHz,20MHz,FDD,12200,46,18.2,4T4R,18142,L2600,ACTIVE,UNBLOCKED
NOKIA,Wairarapa 2,300593,76951919,CMBRL,-41.182092,175.485566,80,15,0700_Kathrein_80010866_E03,111,264,158,0,CMBRJ1_J,27310,9310,20MHz,20MHz,FDD,38800,47.79999924,20,2T2R,38141,L700,ACTIVE,UNBLOCKED
NOKIA,Wairarapa 2,300593,76951929,CMBRL,-41.182092,175.485566,220,15,0700_Kathrein_80010866_E04,121,265,208,0,CMBRJ2_J,27310,9310,20MHz,20MHz,FDD,38800,47.79999924,20,2T2R,38141,L700,ACTIVE,UNBLOCKED
VEND-2,CLUST-6& Gulf Islands,618155,158247794,AMWDF,-36.913395,174.928714,90,8.6,2100_Huawei_APE4516R1v06_E02,114,393,24,0,AMWDF1_M,18275,275,15MHz,15MHz,FDD,12200,46,19.4,4T4R,18131,L2100,ACTIVE,UNBLOCKED
NOKIA,Wairarapa 2,300593,76951939,CMBRL,-41.182092,175.485566,320,15,0700_Kathrein_80010866_E06,131,266,256,0,CMBRJ3_J,27310,9310,20MHz,20MHz,FDD,38800,47.79999924,20,2T2R,38141,L700,ACTIVE,UNBLOCKED
NOKIA,Wairarapa 2,300593,76951921,CMBRL,-41.182092,175.485566,80,15,1800_Kathrein_80010866_E02,113,264,440,0,CMBRJ1_L,19600,1600,20MHz,20MHz,FDD,38800,46,18.2,4T4R,38141,L1800,ACTIVE,UNBLOCKED
NOKIA,Wairarapa 2,300593,76951933,CMBRL,-41.182092,175.485566,220,15,2600_Kathrein_80010866_E03,125,265,576,0,CMBRJ2_N,21200,3200,20MHz,20MHz,FDD,38800,46,18.2,4T4R,38141,L2600,ACTIVE,UNBLOCKED
VEND-2,CLUST-6& Gulf Islands,618155,158247804,AMWDF,-36.913395,174.928714,210,8.6,2100_Huawei_APE4516R1v06_E02,124,394,296,0,AMWDF2_M,18275,275,15MHz,15MHz,FDD,12200,46,19.4,4T4R,18131,L2100,ACTIVE,UNBLOCKED
NOKIA,Wairarapa 2,300593,76951931,CMBRL,-41.182092,175.485566,220,15,1800_Kathrein_80010866_E02,123,265,576,0,CMBRJ2_L,19600,1600,20MHz,20MHz,FDD,38800,46,18.2,4T4R,38141,L1800,ACTIVE,UNBLOCKED
NOKIA,Wairarapa 2,300593,76951941,CMBRL,-41.182092,175.485566,320,15,1800_Kathrein_80010866_E03,133,266,768,0,CMBRJ3_L,19600,1600,20MHz,20MHz,FDD,38800,46,18.2,4T4R,38141,L1800,ACTIVE,UNBLOCKED
NOKIA,Wairarapa 2,300597,76952943,CMRBJ,-41.225292,175.448333,100,20,0700_Huawei_APE4517R0v06_E04,111,201,39,0,CMRBJ1_J,27310,9310,20MHz,20MHz,FDD,38800,47,19.2,2T2R,38141,L700,ACTIVE,UNBLOCKED
